network_packet_size,login_attempts,session_duration,ip_reputation_score,failed_logins,unusual_time_access,attack_detected,protocol_type_TCP,protocol_type_UDP,browser_type_Chrome,browser_type_Edge,browser_type_Firefox,browser_type_Safari,browser_type_Unknown
599,4,492,0,1,0,1,1,0,0,1,0,0,0
472,3,1557,0,0,0,0,1,0,0,0,1,0,0
629,3,75,0,2,0,1,1,0,1,0,0,0,0
804,4,601,0,0,0,1,0,1,0,0,0,0,1
453,5,532,0,1,0,0,1,0,0,0,1,0,0
453,5,380,0,2,1,0,0,1,1,0,0,0,0
815,4,728,0,1,0,1,0,0,1,0,0,0,0
653,3,12,0,3,1,1,1,0,1,0,0,0,0
406,2,542,0,0,1,0,1,0,1,0,0,0,0
608,6,531,0,1,0,0,0,1,1,0,0,0,0
407,6,580,0,3,0,1,0,1,0,0,1,0,0
406,9,191,0,1,0,1,0,1,0,1,0,0,0
548,2,186,0,2,1,0,1,0,0,0,0,1,0
117,4,833,0,2,0,1,1,0,0,0,0,0,1
155,3,77,0,3,0,1,1,0,1,0,0,0,0
387,6,292,0,3,0,1,0,0,1,0,0,0,0
297,8,1421,0,3,0,1,1,0,0,0,1,0,0
562,1,87,0,2,0,0,0,1,0,0,1,0,0
318,5,504,0,1,0,1,1,0,0,0,0,0,1
217,2,883,0,0,0,0,0,0,1,0,0,0,0
793,3,122,0,2,0,0,1,0,0,0,1,0,0
454,1,299,0,1,0,0,1,0,1,0,0,0,0
513,3,654,0,1,0,0,1,0,0,0,1,0,0
215,8,317,0,2,0,1,1,0,1,0,0,0,0
391,5,93,0,2,0,0,1,0,0,0,1,0,0
522,4,211,0,3,0,1,1,0,0,0,1,0,0
269,9,92,0,0,0,1,1,0,1,0,0,0,0
575,3,3286,0,0,0,0,1,0,1,0,0,0,0
379,2,214,0,2,0,1,0,1,1,0,0,0,0
441,7,604,0,0,0,1,1,0,0,0,1,0,0
379,1,447,0,0,0,0,1,0,1,0,0,0,0
870,2,674,0,1,0,1,0,1,1,0,0,0,0
497,1,551,0,1,1,0,1,0,1,0,0,0,0
288,2,1039,0,3,0,1,0,0,1,0,0,0,0
664,6,1650,0,2,1,0,1,0,1,0,0,0,0
255,2,268,0,1,1,0,1,0,1,0,0,0,0
541,5,162,0,2,0,0,1,0,1,0,0,0,0
108,7,3325,0,2,0,1,1,0,0,0,1,0,0
234,5,1608,0,4,0,1,1,0,0,0,1,0,0
539,4,361,0,0,0,0,1,0,1,0,0,0,0
647,2,1801,0,1,0,0,1,0,1,0,0,0,0
534,4,888,0,3,0,1,1,0,1,0,0,0,0
476,4,460,0,2,0,0,1,0,0,1,0,0,0
439,5,1653,0,2,0,0,1,0,1,0,0,0,0
204,4,899,0,1,0,0,1,0,1,0,0,0,0
356,2,1401,0,1,0,1,1,0,1,0,0,0,0
407,7,432,0,3,1,1,1,0,0,1,0,0,0
711,5,1282,0,2,0,1,1,0,0,1,0,0,0
568,6,365,0,2,0,1,1,0,0,0,0,0,1
147,1,1062,0,1,0,0,1,0,0,1,0,0,0
564,2,457,0,1,1,0,1,0,0,1,0,0,0
422,5,415,0,1,0,0,1,0,1,0,0,0,0
364,5,1274,0,2,0,1,1,0,0,0,1,0,0
622,6,106,0,1,1,1,1,0,0,0,1,0,0
706,4,2107,0,2,1,0,1,0,0,1,0,0,0
686,3,568,0,1,0,1,1,0,0,0,1,0,0
332,2,808,0,2,0,0,1,0,1,0,0,0,0
438,4,415,0,1,0,0,1,0,1,0,0,0,0
566,5,830,0,1,0,1,0,1,0,0,1,0,0
695,1,989,0,2,0,1,0,1,0,1,0,0,0
404,9,1622,0,2,0,1,1,0,1,0,0,0,0
462,5,1541,0,2,0,0,1,0,1,0,0,0,0
278,8,354,0,2,0,1,1,0,0,1,0,0,0
260,6,765,0,1,0,0,0,1,1,0,0,0,0
662,3,1213,0,1,0,0,1,0,0,0,0,1,0
771,6,1158,0,2,1,0,0,0,1,0,0,0,0
485,5,1772,0,2,0,0,1,0,1,0,0,0,0
700,6,1426,0,4,0,1,1,0,1,0,0,0,0
572,10,1012,0,1,0,1,1,0,1,0,0,0,0
370,1,1105,0,2,0,1,1,0,1,0,0,0,0
572,6,1317,0,0,0,0,1,0,0,1,0,0,0
807,3,1455,0,0,0,1,1,0,0,0,0,0,1
492,4,347,0,1,0,1,1,0,0,1,0,0,0
812,7,1217,0,2,0,1,0,1,1,0,0,0,0
64,6,2384,0,1,0,0,1,0,1,0,0,0,0
664,3,212,0,0,0,0,1,0,1,0,0,0,0
517,5,39,0,1,0,1,1,0,0,1,0,0,0
440,5,60,0,1,0,0,0,1,1,0,0,0,0
518,7,195,0,0,0,1,0,1,1,0,0,0,0
102,3,2018,0,2,0,0,1,0,0,1,0,0,0
